attendance,marks,study_hours,distance_from_home,annual_income,previous_marks,backlogs,assignments_completed,participation,dropout
34,87,5,5,141182,34,1,98,7,0
41,52,7,6,478954,31,3,62,8,1
75,83,2,5,294661,87,0,77,9,0
63,94,7,13,124180,41,1,65,5,0
78,41,1,5,869709,34,0,99,3,1
74,53,1,13,557588,89,4,84,1,1
56,63,5,8,151372,70,4,70,8,1
55,82,3,9,203427,49,0,45,6,1
76,37,4,19,607731,30,4,84,5,1
85,47,2,15,693374,85,4,70,7,1
92,86,5,10,384307,99,4,86,5,0
77,34,2,11,864298,85,2,87,4,0
90,55,1,5,818449,83,2,79,5,0
55,59,6,9,481760,40,0,84,7,1
65,83,6,11,326283,32,0,84,6,0
30,42,4,19,341553,57,3,99,9,1
37,58,2,2,132934,34,2,91,2,1
81,32,5,6,679883,45,0,91,7,0
76,87,4,1,650880,60,2,51,1,0
85,31,7,3,337685,57,3,90,8,1
43,57,7,3,647327,36,0,56,4,1
57,31,3,14,994737,38,0,65,8,1
31,36,6,5,451406,68,0,42,8,1
55,55,5,17,855870,72,0,54,4,0
43,45,2,15,134018,56,1,88,4,1
88,52,4,6,415302,62,2,77,5,0
85,69,5,14,357061,85,2,63,7,0
36,89,4,14,497774,31,2,90,6,0
32,61,4,17,394318,43,3,69,1,1
52,44,4,8,982373,42,1,83,6,1
47,42,2,8,273703,53,2,75,3,1
67,34,5,19,989813,98,2,92,9,0
44,81,1,9,770912,63,0,94,3,1
93,70,1,11,731820,48,0,83,9,0
57,82,2,13,921079,59,0,66,5,0
68,79,7,13,157940,78,2,61,8,0
86,44,2,19,231692,72,0,41,9,0
46,36,6,19,778442,45,2,46,9,1
73,69,4,5,777251,81,3,55,7,0
54,57,5,16,206566,78,3,63,1,1
46,61,5,9,948827,40,4,69,8,1
42,44,3,3,150955,76,1,83,7,1
54,99,3,19,394458,64,0,87,4,0
97,94,1,5,516716,58,0,85,6,0
39,33,3,8,153685,83,1,40,2,1
96,40,3,14,748235,52,1,93,4,0
47,55,1,3,951215,53,4,66,8,1
63,90,6,13,200229,39,1,48,4,0
37,66,7,11,936621,90,2,46,4,0
69,52,1,8,455698,37,0,44,4,0
71,69,7,19,119567,77,1,69,9,0
70,52,3,10,519194,58,2,81,2,0
35,45,5,18,438233,55,1,66,7,1
81,90,3,18,764990,66,2,49,3,0
55,97,4,7,505219,81,3,64,4,1
93,60,7,16,403588,67,2,57,1,1
88,82,7,6,186184,35,4,46,3,1
85,54,4,16,786967,37,2,96,2,0
88,73,4,16,386965,46,1,70,7,0
99,41,6,1,638889,91,3,71,6,1
62,38,2,19,801264,63,3,89,1,1
82,41,4,3,212882,48,2,84,8,1
51,98,7,6,958089,99,1,50,9,1
50,83,5,4,793917,66,3,49,1,1
99,83,7,4,807883,67,2,61,5,0
99,57,7,4,443990,44,2,70,7,0
33,85,6,10,412646,69,2,80,2,1
91,98,2,9,223409,38,3,86,6,0
91,87,2,8,122098,82,0,53,8,0
53,71,4,19,276974,99,1,42,8,0
84,67,3,17,218502,95,4,63,8,0
38,97,7,17,844427,81,4,53,6,1
32,82,1,1,794613,30,1,92,6,1
60,62,3,14,437660,59,0,55,3,0
69,85,3,11,879942,30,1,94,2,0
65,80,2,3,144280,68,2,67,5,0
53,72,2,8,895383,45,1,74,9,1
35,44,6,10,108117,46,1,79,4,1
95,67,6,17,125979,51,3,41,5,0
33,44,2,8,567741,60,4,95,6,1
35,34,5,1,116915,69,4,73,6,1
80,83,5,7,421405,56,2,94,4,0
91,80,1,9,588287,65,2,57,4,0
86,39,2,12,853020,33,3,46,8,1
95,41,4,9,743113,98,2,88,5,0
37,33,6,3,865272,54,0,77,5,1
55,47,2,4,461046,59,3,81,9,1
80,65,5,10,435108,76,3,46,4,0
74,54,2,4,563656,41,1,43,7,0
73,65,5,9,397821,56,1,82,5,0
34,96,2,1,605071,74,0,55,9,0
99,38,7,5,411974,92,3,98,8,0
55,90,4,9,633210,84,3,88,8,1
97,82,1,5,196696,59,1,99,3,0
48,47,7,6,167561,43,4,45,9,1
49,72,4,19,375364,85,4,59,8,1
41,64,5,8,153380,48,1,70,3,1
76,92,6,10,495982,55,2,58,1,0
30,33,6,11,839378,67,3,91,5,1
43,70,3,13,745737,98,0,61,4,0
93,74,4,4,526375,65,4,60,8,0
67,79,2,11,373079,47,2,57,6,0
66,57,1,12,365928,86,3,71,5,0
40,71,2,5,581802,52,2,86,9,0
32,98,2,10,775581,43,3,73,6,1
62,30,4,7,118069,98,3,90,3,1
35,68,1,9,483329,51,1,66,6,0
79,46,3,9,135682,57,1,77,4,0
39,64,7,10,473691,72,0,83,5,0
34,75,2,10,194303,47,0,69,6,0
52,71,1,2,964250,65,2,72,9,0
39,68,3,4,473413,36,1,66,3,1
73,78,7,8,786592,52,3,94,1,0
31,91,2,14,930705,63,1,95,2,0
42,67,1,17,155210,50,3,62,8,1
69,52,7,13,435335,99,1,82,4,0
31,51,4,18,915893,76,3,58,7,1
94,33,6,18,891042,82,2,93,2,1
92,78,6,13,419117,70,1,70,8,0
46,88,2,8,762943,61,4,43,9,1
38,97,2,12,125583,43,4,92,7,1
44,31,7,1,773061,46,3,58,1,1
53,78,1,18,369024,54,2,92,2,1
67,60,6,3,593869,93,3,77,9,0
64,69,2,12,189257,77,2,79,7,0
78,77,3,19,545061,64,0,99,3,0
98,80,2,13,860872,66,1,61,5,0
91,72,6,10,847750,84,2,48,1,0
89,84,5,15,212024,46,3,70,3,0
79,78,6,2,434561,57,0,49,4,0
38,86,3,19,628010,30,3,49,4,1
63,44,1,3,120077,82,4,69,7,1
64,56,3,14,180868,84,4,49,5,0
30,97,5,7,874440,90,1,97,9,0
69,93,5,8,751718,42,1,75,7,0
93,59,2,11,336600,76,0,57,2,0
51,65,2,6,375373,93,4,83,8,1
89,96,6,11,435482,61,2,96,2,0
93,78,4,17,817039,57,4,82,7,0
40,84,3,10,580853,82,1,87,5,0
43,85,6,17,504655,60,3,58,6,1
89,97,4,2,102598,37,0,82,4,0
59,73,6,6,716585,54,4,62,5,1
64,60,5,5,112741,62,2,43,5,0
66,87,2,4,169360,97,2,51,7,0
34,82,2,2,398432,36,2,99,4,1
55,52,6,12,232321,95,0,88,5,0
91,57,2,3,254042,75,2,63,4,0
33,45,1,6,115565,34,2,52,4,1
71,66,6,14,419139,46,4,99,8,0
47,50,5,8,839354,81,0,43,5,0
69,46,7,14,675944,41,3,66,9,1
68,66,6,3,670053,91,3,77,5,0
43,48,6,16,757374,64,2,78,8,1
61,59,2,15,825840,91,1,47,3,0
80,74,5,7,330324,50,0,65,7,0
67,47,6,15,214794,95,1,73,1,1
52,91,2,13,733275,82,0,48,5,0
92,65,3,6,507228,50,0,49,2,0
44,81,5,15,884419,44,4,90,8,1
54,48,4,17,334068,52,2,40,6,1
46,73,1,4,419642,60,4,87,5,1
95,36,4,14,955208,83,1,89,3,1
82,73,7,15,223675,84,1,47,1,0
80,97,5,12,161711,55,3,49,8,0
68,63,6,19,142530,82,4,93,5,0
80,95,2,10,310339,95,4,82,9,0
99,98,7,6,613207,68,4,88,7,0
35,84,5,9,511234,36,3,98,1,1
96,39,1,2,752524,68,4,64,1,1
36,71,5,4,904348,61,4,70,7,1
80,70,7,9,140376,55,4,78,7,0
71,98,2,15,997145,58,4,97,9,0
93,39,4,13,740416,54,1,98,2,1
44,39,3,8,820406,85,2,42,7,1
58,89,4,19,289814,60,1,78,2,1
62,80,2,19,709854,95,4,77,2,0
56,50,7,16,439269,31,0,74,5,0
65,37,2,11,711807,76,0,47,9,0
58,94,1,10,112437,58,3,40,9,1
67,59,5,8,162146,78,1,44,1,0
86,78,5,1,127618,61,3,95,7,0
56,38,4,10,281839,59,3,90,3,1
84,46,7,18,109705,44,0,66,1,1
62,98,3,3,812506,91,1,84,2,0
97,87,3,11,319288,46,2,65,6,0
95,86,1,18,967344,51,1,82,2,0
39,91,2,3,413894,59,3,99,2,1
34,81,1,8,584172,45,4,93,4,0
67,90,5,14,668667,81,3,65,3,0
42,69,6,6,152682,37,1,50,8,1
60,67,6,15,295785,93,0,73,8,0
76,72,6,14,205894,68,1,80,6,0
81,92,2,7,287991,60,2,41,4,0
85,48,1,10,160384,41,4,60,7,1
44,79,7,15,230512,62,4,90,9,1
58,62,4,10,937560,87,3,65,2,1
37,42,5,17,121283,41,1,51,6,1
34,91,6,19,673794,54,0,48,7,0
58,72,7,17,339173,67,2,80,1,1
76,78,3,12,808985,77,3,62,6,0
97,65,1,15,791323,84,1,81,8,0
74,39,5,12,343244,32,0,44,7,1
31,35,5,9,240251,98,1,48,2,1
56,86,3,5,980872,64,0,94,2,0
65,30,3,4,623743,80,1,89,4,0
65,87,3,12,993081,56,1,49,5,0
55,50,6,16,592426,66,3,88,5,1
72,85,6,9,111955,45,1,97,2,0
56,49,1,3,869432,54,1,49,7,1
98,83,3,3,500414,62,3,53,8,0
49,54,4,18,560372,91,3,75,2,1
40,57,5,17,406732,46,4,49,4,1
67,34,3,10,504982,72,4,95,3,1
35,50,5,2,196626,59,3,93,4,1
52,47,2,11,808930,70,2,89,5,1
76,76,7,3,956306,33,0,76,6,0
75,99,2,2,804039,95,3,80,2,0
41,86,3,9,477261,89,4,77,6,1
42,48,5,19,770504,38,1,87,9,1
91,94,7,2,507000,60,3,61,8,0
89,32,2,19,692247,98,3,62,1,1
72,71,3,2,632560,53,4,55,9,0
97,50,5,15,232645,53,4,50,2,0
34,69,3,3,124419,74,2,92,1,0
66,96,6,5,837699,66,4,86,6,0
60,54,5,11,591986,87,4,90,1,0
38,84,2,7,148555,52,4,74,6,1
80,81,3,6,236248,64,1,87,2,0
58,73,2,14,267233,92,3,92,7,1
69,85,3,1,818800,35,3,59,7,0
70,84,1,17,863421,35,4,76,4,1
40,99,2,17,814222,59,2,80,2,0
52,95,2,14,222082,30,4,44,7,1
30,48,4,10,770524,92,2,75,1,1
75,36,7,8,570974,37,3,52,2,1
50,92,6,8,609939,57,2,91,2,0
65,71,2,14,649667,62,2,56,1,0
83,71,5,7,322261,82,0,65,9,0
86,88,7,6,380512,67,2,91,6,0
30,49,3,4,844401,81,2,83,3,1
92,46,1,1,525987,40,1,91,6,1
83,56,5,15,558166,31,3,96,7,0
84,76,7,15,271317,82,4,98,3,0
69,31,5,1,728590,97,0,59,4,1
44,92,5,3,723194,36,2,78,1,1
50,91,5,5,667615,96,1,72,6,0
76,48,7,5,801814,38,1,69,6,0
82,46,1,4,980219,92,4,55,9,1
38,98,4,17,616596,40,4,46,2,1
81,68,6,14,802101,66,3,69,5,0
86,68,2,8,656265,43,2,41,5,0
55,65,7,2,361456,48,1,51,7,1
70,69,5,8,106714,37,0,82,5,0
64,74,2,1,206680,36,3,79,4,0
92,33,7,4,963669,88,2,40,2,1
54,54,2,19,508107,92,4,97,8,1
67,98,5,5,594771,36,2,42,5,0
31,59,4,5,676587,84,4,47,4,1
36,97,7,19,558383,32,2,65,9,1
63,58,2,12,951556,96,0,79,2,0
46,97,3,1,979484,47,3,50,3,1
72,80,2,7,927344,74,4,60,8,0
88,53,6,17,568668,65,0,44,4,0
80,43,5,2,168446,45,1,79,9,0
83,98,1,11,314862,58,0,65,9,0
53,47,2,7,161516,88,0,60,9,1
54,71,4,17,749511,47,0,48,1,1
81,86,3,3,537466,78,4,56,6,0
99,41,3,6,791476,75,1,76,6,0
62,46,1,11,183521,58,3,90,8,1
78,59,6,18,515367,99,0,90,7,0
58,52,1,18,695654,79,4,41,7,1
92,30,6,10,275369,84,4,90,2,1
51,61,2,5,665176,56,3,94,4,1
55,38,5,15,418339,36,2,86,1,1
57,44,4,4,970442,70,1,79,7,1
78,57,3,1,826376,40,1,67,4,0
78,53,1,15,306051,34,0,95,9,0
49,89,4,17,597890,95,2,66,6,0
92,64,6,19,285406,85,1,79,6,0
90,56,5,14,722762,41,0,40,9,0
78,49,3,19,754274,71,2,85,8,0
30,94,3,18,692633,39,4,50,6,1
42,78,6,2,746905,57,0,78,6,0
80,30,5,6,258002,36,2,57,6,1
85,39,3,13,159117,43,3,66,4,1
91,76,5,17,909527,98,1,86,5,0
61,88,3,6,832842,90,0,49,3,0
59,91,2,5,103991,80,4,75,9,1
58,47,6,7,123519,71,0,60,2,1
78,75,5,1,913089,37,1,67,7,0
74,61,4,13,887258,79,1,40,1,0
59,56,2,19,273697,30,2,53,7,1
45,47,7,1,968481,98,4,59,2,1
69,68,4,13,642089,40,2,91,5,0
48,78,6,11,523062,77,4,96,1,1
47,73,3,7,139566,39,0,48,5,1
30,83,7,3,778517,44,0,84,4,1
76,63,4,1,259435,76,2,66,1,0
95,65,2,8,492938,54,3,97,1,0
67,47,7,17,813297,35,1,88,7,0
80,67,7,13,641709,40,2,95,3,0
92,88,5,14,356080,46,2,91,9,0
33,38,1,5,357230,44,0,43,9,1
30,80,4,6,178027,45,1,76,9,1
37,64,1,6,631834,85,2,57,1,1
58,34,6,8,433583,95,0,70,4,1
84,43,4,13,801983,65,0,88,1,1
32,59,4,18,902838,67,2,92,1,1
61,33,5,4,492353,32,2,78,9,0
39,68,3,17,371969,47,0,49,5,1
63,93,2,5,341569,83,2,48,1,0
84,54,2,3,396317,46,1,67,3,0
61,57,2,4,361536,42,0,67,7,0
79,95,6,5,417763,92,0,52,2,0
36,51,7,14,445258,43,2,57,4,1
37,60,3,15,469215,88,2,51,2,1
94,52,1,17,396518,65,2,47,9,0
86,77,2,6,796771,47,1,62,9,0
96,49,1,10,426512,34,0,89,7,1
88,67,3,16,894748,43,3,44,7,1
83,84,6,17,603166,54,1,46,2,0
96,97,3,14,896988,73,1,54,8,0
80,30,5,12,728842,68,0,42,1,1
37,36,7,9,331059,41,3,57,8,1
63,86,2,15,518698,90,0,77,5,0
64,41,6,12,144494,91,1,65,4,0
61,34,5,14,971103,82,2,77,2,0
75,79,2,18,582640,82,0,98,3,0
45,71,3,6,132481,57,0,91,2,1
97,41,3,4,128401,64,2,72,4,0
66,47,4,12,664719,94,3,60,3,1
83,95,4,13,426603,32,3,56,5,0
43,46,3,19,452617,72,0,82,7,1
84,97,3,13,223311,79,2,98,9,0
77,91,1,12,348482,38,0,95,5,0
36,70,7,3,744615,65,2,41,8,1
36,63,1,3,834042,52,1,64,2,1
62,99,7,14,541720,79,2,80,6,0
52,74,5,18,496439,84,0,58,8,1
48,87,4,19,564193,41,4,77,9,1
48,80,4,10,339198,61,3,64,4,1
65,63,3,17,140149,53,0,78,4,0
58,73,3,15,637151,96,2,43,7,1
89,44,5,19,989920,56,2,42,4,0
31,99,6,9,260636,90,3,73,5,1
30,79,6,4,844984,48,0,81,2,1
76,61,6,15,646787,80,4,49,2,0
98,96,4,19,338691,93,1,88,5,0
49,32,1,16,357128,31,4,66,2,1
40,80,6,8,451362,65,1,87,6,0
31,96,2,17,656420,40,1,65,6,1
96,77,5,1,226272,97,0,66,8,0
41,46,6,7,759893,97,1,40,1,1
49,36,2,18,838322,93,2,83,7,1
34,42,6,12,442240,30,1,59,7,1
66,95,1,16,527625,55,1,91,9,0
67,33,1,1,574677,40,3,64,4,1
38,39,6,15,361085,31,3,49,7,1
82,46,2,7,110633,69,0,40,6,0
73,81,5,17,549423,33,0,55,4,0
53,35,2,3,281607,66,2,50,8,1
59,98,5,11,890428,90,3,43,3,1
88,38,6,6,231086,34,4,74,8,1
43,50,5,6,888106,44,0,96,5,1
38,53,3,15,531083,96,0,52,4,0
69,33,4,7,578753,55,3,60,3,1
95,53,7,11,681539,35,3,54,7,1
54,88,4,17,811069,73,2,96,7,0
51,32,1,18,482306,87,3,49,6,1
33,97,3,19,248936,75,1,77,3,0
55,69,4,8,388465,71,4,50,9,1
87,77,6,8,255154,77,1,96,2,0
58,83,5,11,140131,56,1,71,3,0
66,64,5,3,302565,49,1,72,1,0
99,85,2,14,235282,99,0,59,7,0
47,69,2,9,345152,64,1,75,2,1
71,97,5,1,875519,77,0,69,8,0
70,75,6,1,739951,96,3,97,9,0
67,42,5,12,970037,97,4,49,2,1
63,56,2,11,659139,81,4,93,6,0
46,35,4,1,913297,97,1,97,1,1
66,46,1,12,970038,33,4,54,8,1
54,65,2,17,235230,68,0,68,5,0
56,31,6,15,221497,50,3,40,9,1
86,81,4,2,419996,95,1,97,3,0
60,95,4,18,411483,45,2,60,2,0
35,81,4,16,987518,36,4,54,7,1
69,72,3,4,907004,38,4,42,7,0
41,51,3,8,275541,46,1,72,5,1
82,84,7,2,967493,41,4,77,7,0
39,96,4,14,291933,86,4,58,6,1
74,89,6,15,642744,74,2,43,9,0
46,87,5,9,942235,40,0,51,3,1
55,41,6,2,427777,42,1,64,4,1
91,98,3,17,830379,60,1,73,9,0
75,68,2,10,614709,55,2,56,8,0
93,42,7,9,660520,92,2,97,6,0
31,70,3,2,167323,60,0,45,3,1
83,86,5,19,992499,51,3,51,9,0
94,82,1,17,515004,35,1,54,9,0
80,41,7,11,902524,49,4,56,6,1
82,42,3,17,887564,39,0,40,2,1
65,86,6,10,833210,64,1,53,7,0
55,69,7,18,335253,55,0,94,9,0
58,74,6,6,319190,66,3,41,9,1
50,64,4,16,755312,37,1,43,3,1
40,32,4,18,357075,34,4,91,2,1
69,34,4,18,853132,73,1,41,5,1
40,40,7,1,349596,96,0,93,7,1
65,85,1,3,375212,78,3,65,3,0
88,39,5,15,279598,65,0,85,4,0
68,63,7,10,552174,55,0,89,2,0
83,96,2,5,215729,74,2,99,2,0
84,60,6,15,176593,90,0,79,7,0
53,95,6,14,155041,73,3,91,2,1
51,99,7,15,854518,33,4,72,1,1
98,70,7,10,335114,87,2,87,4,0
85,92,5,9,425516,55,0,78,6,0
62,61,1,12,691850,58,1,45,4,0
65,49,7,7,978531,38,2,99,1,1
49,86,4,5,688334,65,3,69,1,1
91,79,5,10,982890,33,1,61,9,0
55,54,2,8,238161,88,3,66,1,1
95,41,4,16,903055,66,1,58,7,0
69,68,2,12,936073,42,4,49,7,0
46,46,3,9,374187,49,3,94,1,1
30,74,2,10,166572,46,1,45,1,1
90,40,4,16,581268,80,3,65,6,1
72,99,3,10,186700,84,2,81,8,0
71,52,4,9,157061,62,3,96,7,0
54,99,6,3,217957,50,3,90,6,1
68,67,4,19,892554,51,1,42,3,0
64,31,3,11,933778,54,3,91,7,1
32,66,2,6,618650,96,4,42,6,1
73,78,6,6,328394,41,0,91,8,0
80,81,1,15,509366,44,2,45,4,0
41,62,1,15,187630,31,1,88,9,1
48,51,1,13,177228,33,3,89,1,1
73,34,1,5,374198,74,3,49,7,1
88,47,5,14,626055,42,3,77,9,1
78,67,1,2,104708,84,2,99,1,0
90,66,3,12,862017,61,0,52,3,0
46,93,7,14,944431,51,4,77,7,1
86,39,1,19,676446,84,4,51,9,1
84,71,4,15,128082,46,1,85,1,0
76,77,7,17,134024,99,0,88,6,0
41,73,1,14,385605,80,0,93,2,1
91,45,7,18,105351,37,2,66,5,0
37,83,2,5,592269,90,3,99,7,1
50,64,3,12,969060,39,0,96,7,1
99,57,3,10,204720,48,3,47,7,0
54,31,7,8,748789,43,2,97,4,1
41,42,6,6,532934,96,1,44,6,1
44,70,5,15,997064,84,1,75,6,0
88,88,4,12,620751,90,3,77,7,0
55,98,7,6,714865,85,3,82,9,1
55,82,3,12,226875,92,0,69,6,0
76,74,2,15,846572,40,2,99,1,0
61,49,1,12,986449,76,1,76,8,0
39,53,3,9,768137,35,0,68,2,1
45,90,2,19,845216,63,4,61,3,1
46,87,1,2,239380,94,0,53,5,1
52,56,5,13,667729,93,3,49,6,1
55,55,3,13,737970,95,4,50,7,1
36,36,3,8,180865,60,0,74,4,1
43,71,7,13,113882,91,2,62,3,0
36,76,7,4,214883,83,1,47,9,0
38,82,2,6,322658,37,4,60,4,1
77,88,6,6,274504,71,2,76,9,0
88,67,7,12,312361,70,0,67,9,0
68,98,4,12,457659,88,3,91,3,0
47,82,5,17,734913,69,3,70,3,1
88,44,4,7,750222,51,2,97,8,0
46,55,3,15,510874,53,3,92,1,1
43,77,4,17,824605,67,1,67,6,0
60,48,1,10,854002,31,2,81,6,1
53,38,5,6,467209,70,2,66,9,1
89,93,4,9,611415,48,3,79,2,1
74,83,1,15,857939,31,2,60,8,0
32,80,2,16,358669,91,0,48,7,1
66,68,4,8,963459,45,4,68,2,0
72,33,5,16,806168,51,4,99,1,1
69,32,1,5,139530,43,3,54,4,1
84,93,4,18,239906,85,1,72,2,0
68,58,2,14,507574,94,1,94,3,0
44,40,4,2,420838,74,3,76,2,1
33,87,1,3,187193,83,3,86,9,1
54,56,4,14,747786,95,2,75,4,0
42,50,5,7,281393,75,1,90,1,1
62,68,3,15,845723,62,4,67,8,0
45,75,1,17,304781,79,3,49,4,1
71,95,1,1,378829,51,4,62,8,0
95,65,1,9,216254,69,4,67,8,0
84,94,1,14,766716,68,1,73,9,0
71,92,4,16,402728,70,4,44,7,0
63,64,5,13,603669,97,2,57,4,0
59,60,2,6,282434,36,2,94,2,1
42,57,5,1,635632,33,1,45,6,1
42,30,1,4,738779,88,2,81,4,1
47,54,6,3,144619,55,3,86,6,1
61,72,4,17,598750,60,1,62,8,0
68,96,6,2,731395,98,4,67,3,0
75,92,4,19,574547,81,3,80,1,0
58,80,1,8,326351,50,1,52,5,1
91,31,4,15,233015,45,4,89,3,1
91,93,1,6,321257,80,4,64,6,0
86,98,5,2,815577,45,4,46,3,1
45,38,7,15,212319,47,4,41,1,1
85,31,3,12,514237,76,4,55,9,1
39,63,4,3,894780,85,1,97,5,0
59,89,1,10,308358,57,2,41,2,1
54,90,6,14,564137,85,4,75,2,1
34,60,1,14,771999,66,3,41,9,1
94,39,6,3,185030,45,1,88,1,1
78,65,4,1,557782,94,0,77,3,0
32,78,2,1,797371,89,2,49,7,1
74,99,6,2,869937,90,3,53,1,1
43,78,1,19,334408,40,4,66,2,1
59,32,4,10,466709,95,1,54,6,1
97,34,1,4,905072,61,1,60,9,0
47,90,2,4,135402,48,4,51,9,1
91,55,3,13,165088,85,3,90,8,0
66,34,7,9,495107,34,1,82,3,1
54,44,7,7,259331,32,2,72,2,1
77,45,2,16,556237,57,3,96,1,1
94,30,5,18,260059,58,4,79,9,1
82,45,4,3,283688,88,3,61,5,1
44,66,2,10,241755,54,3,77,3,1
78,32,3,16,554299,51,0,83,5,0
97,81,1,3,896399,52,4,91,3,1
41,76,4,11,701952,99,2,87,9,0
88,42,6,10,724562,69,4,57,1,1
66,84,2,16,324903,43,0,83,1,0
90,50,3,8,579089,58,4,91,3,0
72,95,2,9,949093,45,4,41,6,1
99,83,5,15,712026,39,2,68,2,0
68,56,7,3,303379,76,0,46,1,0
85,67,7,4,929884,33,4,70,8,0
92,87,4,13,637145,41,4,80,9,0
75,91,1,12,524517,71,1,57,1,0
40,75,3,9,942332,33,4,48,3,1
91,40,2,14,655748,35,2,96,5,0
54,37,4,19,186923,43,1,47,7,1
81,93,2,7,936232,64,0,72,4,0
33,50,4,16,503048,76,3,44,6,1
88,92,7,5,899058,87,2,87,1,0
49,93,5,10,288944,94,0,53,4,1
92,49,2,18,577237,48,1,97,8,0
83,37,5,11,983371,86,3,52,5,1
86,87,6,7,720447,94,0,50,8,0
70,75,6,14,641090,42,2,59,1,0
32,60,7,18,378477,37,1,62,9,0
35,38,3,11,397264,47,2,84,4,1
34,44,5,12,717909,64,2,66,9,1
34,55,4,18,777519,55,1,54,8,0
83,39,3,2,517876,67,4,69,8,1
76,58,2,1,681131,95,2,95,2,0
78,65,2,10,749467,55,1,97,3,0
38,66,4,1,265591,86,2,98,9,0
49,52,1,6,456477,54,4,55,3,1
90,70,1,7,839937,59,1,84,8,0
64,57,2,17,144935,36,0,79,5,0
79,77,7,9,122507,56,0,57,7,0
91,67,7,7,302132,40,0,90,4,0
46,60,4,17,446415,37,3,97,8,1
32,43,1,3,943655,40,2,86,4,1
61,58,5,16,258747,59,2,81,5,0
42,80,2,5,475631,44,1,62,1,1
97,78,6,18,641961,85,3,75,8,0
43,72,5,1,209619,64,2,77,7,0
40,34,4,4,659758,68,1,47,5,1
85,71,6,11,928035,53,4,95,6,0
96,36,5,9,578041,37,2,78,1,1
58,71,1,8,524446,72,2,68,8,0
38,65,7,8,769902,71,4,51,9,1
96,56,1,5,865923,70,4,57,5,0
54,87,6,12,947839,76,2,89,7,0
71,75,3,1,678109,55,4,58,4,0
38,95,7,15,397834,81,1,75,6,0
69,54,2,18,630942,51,2,72,2,0
54,56,6,6,560773,34,2,44,4,1
34,30,4,10,736547,44,0,78,5,1
40,71,2,14,840904,65,2,67,9,0
88,81,5,8,450408,92,0,65,9,0
67,54,7,3,913878,78,4,82,8,0
34,83,4,19,457659,84,4,60,4,1
77,96,4,12,672772,89,1,62,6,0
47,35,1,12,668366,86,0,60,7,1
99,87,5,15,623259,58,2,50,1,0
66,99,1,7,476968,48,0,81,1,0
89,82,1,4,628513,39,4,95,4,1
77,95,7,9,486242,39,4,78,3,0
57,87,3,16,174745,86,1,55,4,1
98,31,1,13,341268,83,4,72,9,1
69,51,2,4,574475,85,0,66,2,0
74,66,4,9,276559,97,2,40,4,0
91,49,7,18,824036,98,2,83,7,0
87,53,1,15,111721,84,0,55,2,0
96,94,6,15,495803,98,1,44,8,0
85,94,2,6,208878,30,2,85,4,0
69,30,5,11,663725,41,0,57,9,0
69,32,4,8,250061,64,0,80,1,1
62,75,7,17,788086,62,4,73,7,0
35,84,6,17,825900,54,4,83,1,1
48,93,7,18,966269,45,1,64,9,1
69,74,7,4,722503,37,1,81,1,0
88,55,6,15,487581,64,1,73,3,0
88,94,5,2,927600,75,0,54,7,0
77,53,6,2,464258,40,0,43,1,0
70,64,2,10,433760,90,4,90,5,0
42,53,7,3,238480,73,2,93,6,0
74,57,5,8,487031,40,1,43,3,0
82,45,7,7,766415,40,3,64,6,1
71,88,6,12,906192,51,1,80,4,0
92,83,5,19,642040,91,4,52,6,0
56,45,5,15,845089,77,0,81,6,1
67,44,1,14,166573,92,4,85,4,1
89,40,1,16,523270,80,4,64,1,1
36,94,1,14,292888,74,4,42,3,1
34,97,6,3,389010,62,3,74,7,1
74,72,4,18,887424,89,3,91,2,0
87,98,2,6,910128,31,1,87,4,0
60,42,6,17,553498,42,0,48,6,1
52,39,7,14,333886,95,4,53,5,1
71,70,1,14,985129,86,2,61,6,0
39,79,5,13,173541,72,1,87,5,0
61,88,6,3,152838,74,1,48,9,0
82,68,5,13,915832,60,4,63,2,0
59,32,7,2,444421,39,1,62,4,1
68,36,5,9,480836,52,4,76,1,1
60,78,5,13,379709,58,1,84,7,0
31,55,3,8,139585,60,0,54,1,1
41,62,4,16,483703,47,1,96,6,0
68,77,2,3,898526,40,1,75,9,0
95,31,2,13,262352,76,2,53,2,1
42,61,1,4,670935,32,0,91,1,1
75,33,3,18,799738,31,0,95,3,1
56,49,6,2,982230,83,0,59,6,1
46,65,6,15,521350,60,1,78,7,0
89,61,2,17,886260,37,3,75,8,0
93,57,4,10,732338,72,1,66,4,0
64,30,5,1,501894,77,4,56,8,1
99,89,7,6,761654,31,2,65,7,0
59,85,1,3,371718,51,0,80,8,0
92,64,4,19,135183,34,4,43,5,1
57,59,2,7,804107,36,4,42,7,1
89,83,3,13,428750,49,3,58,4,0
66,65,1,13,249710,31,0,80,1,0
51,84,2,17,157194,61,1,79,3,1
97,87,6,1,540769,32,0,97,9,0
49,94,1,14,126082,70,2,78,4,1
97,98,2,3,771666,71,0,46,5,0
93,80,6,14,994803,74,4,75,3,0
46,51,7,1,227899,46,4,58,6,1
41,82,6,16,369951,76,1,51,4,0
51,65,5,10,282414,98,1,59,5,1
46,97,3,13,132143,53,1,77,7,0
39,65,5,4,221952,63,2,51,7,1
94,81,2,9,420558,79,0,68,9,0
51,82,7,14,845662,71,3,69,2,1
79,79,4,4,911147,62,0,59,4,0
43,70,7,10,817414,56,1,43,8,0
